Position,Business Name,Location,Status,Description,Asking Price,Revenue,Cash Flow,Business URL,Image URL,Image Alt Text
62,Well-Established Convenience/Bakery/Pizza + 2-bedroom Apartment In Ottawa Valley,"Ottawa Valley, Ontario, Canada",,"Asking Price: $1,000,000 (CAD)
Revenue: $250K - $500K (CAD)
Cash Flow: $250K - $500K (CAD)","$1,000,000 (CAD)",$250K - $500K (CAD),$250K - $500K (CAD),https://canada.businessesforsale.com/canadian/well-established-convenience-bakery-pizza-2-bedroom-apartment-in-ottawa-valley.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,well-established convenience bakery pizza
63,Unique Speaker Bureau International – Motivational Speaker Sourcing License in Ottawa,"Ottawa, Ontario",,"License Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/unique-speaker-bureau-franchise-international?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8318/browselogobig.jpg,unique speaker bureau international
64,Well Established Law Firm Practice For Sale In Southwestern Ontario,"Canada, Ontario, Canada",NEW,"A well-established legal practice offering expert advice and representation, specializing in Workers' Compensation and Civil Liability. Renowned for its professionalism and dedication to personalized... More details »","$975,000 (CAD)","$441,400 (CAD)","$430,500 (CAD)",https://canada.businessesforsale.com/canadian/well-established-law-firm-practice-for-sale-in-southwestern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3744521mediumthumbnail.jpg?D33vLtbFaTzYlgSf0C0hNg==,well established law firm
65,Well Established Bakery In Markham,"Markham, Ontario, Canada",NEW,At the entrance of famous King Square Shopping Centre. Good exposure. Successfully operated for over 4 years. Reasonable rent with 5+5 new lease. Around 450sqft interior space and about 100 sqft patio... More details »,"$88,000 (CAD)",$100K - $250K (CAD),Under $50K (CAD),https://canada.businessesforsale.com/canadian/well-established-bakery-in-markham.aspx,https://canada.businessesforsale.com/uploadsstatic/a3744480mediumthumbnail.jpg?brvXkzAD6L2d7WwaXImbbg==,well established bakery markham
66,Kindling Cannabis in Sault Ste. Marie,"Sault Ste. Marie, Ontario",,"License Fee: On request
Investment: On request
Capital: $150,000",On request,On request,"$150,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/kindling-cannabis-opportunity?location=Sault%20Ste.%20Marie,https://canada.businessesforsale.com/canadian/franchises/images/franchise8368/browselogobig.jpg,kindling cannabis
67,Real Estate Flipping Business In Toronto,"Toronto, Ontario, Canada",,"Asking Price: $233,000 (CAD)
Revenue: $990,000 (CAD)
Cash Flow: $460,000 (CAD)","$233,000 (CAD)","$990,000 (CAD)","$460,000 (CAD)",https://canada.businessesforsale.com/canadian/real-estate-flipping-business-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3736671mediumthumbnail.jpg?3cTO99dfc/XAJwz/QiGnyw==,real estate flipping business
68,Established Proof And AI Automated Business In Oshawa,"Oshawa, Ontario, Canada",,"Asking Price: $150,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$150,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/established-proof-and-ai-automated-business-in-oshawa.aspx,https://canada.businessesforsale.com/uploadsstatic/a3352408mediumthumbnail.jpg?QwXV1BNDBmCZBtNFAAB2Zw==,established proof ai automated
69,COBS Bread – National Bakery Franchise in Greater Toronto Area,"Greater Toronto Area, Ontario",,"Franchise Fee: $0 for new bakeries
Investment: On request
Capital: C$200,000 - $250,000",$0 for new bakeries,On request,"C$200,000 - $250,000",https://canada.businessesforsale.com/canadian/franchises/opportunities/cobs-bread-franchise?location=Greater%20Toronto%20Area,https://canada.businessesforsale.com/canadian/franchises/images/franchise8543/browselogobig.jpg,cobs bread national bakery
70,Online Auction House With Fantastic Reputation In Kitchener,"Kitchener, Ontario, Canada",,"Asking Price: Under $100K (CAD)
Revenue: On request
Cash Flow: On request",Under $100K (CAD),On request,On request,https://canada.businessesforsale.com/canadian/online-auction-house-with-fantastic-reputation-in-kitchener.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,online auction house with
71,Profitable Restaurant And Catering Business In Ottawa,"Ottawa, Ontario, Canada",,"Asking Price: $390,000 (CAD)
Revenue: On request
Cash Flow: On request","$390,000 (CAD)",On request,On request,https://canada.businessesforsale.com/canadian/profitable-restaurant-and-catering-business-in-ottawa.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,profitable restaurant catering business
72,"Ideal Caregivers 4u Franchise in Whitby, Ontario","Whitby, Ontario, Ontario",,"Franchise Fee: $65,000
Investment: $85,000 - $125,000","$65,000 ","$85,000 - $125,000",,https://canada.businessesforsale.com/canadian/franchises/opportunities/ideal-caregiveers-4u-franchise?location=Whitby%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8090/browselogobig.jpg,ideal caregivers 4u franchise
73,Highly Desired Boutique Fitness Studio In Toronto,"Toronto, Ontario, Canada",,"Asking Price: $300,000 (CAD)
Revenue: $100K - $250K (CAD)
Cash Flow: $100K - $250K (CAD)","$300,000 (CAD)",$100K - $250K (CAD),$100K - $250K (CAD),https://canada.businessesforsale.com/canadian/highly-desired-boutique-fitness-studio-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742528mediumthumbnail.jpg?ap9R+On3K1l5B8xty7GBcQ==,highly desired boutique fitness
74,Established Transport Canada Certified Flight School In Ontario,"Ontario, Canada",,"Asking Price: On request
Revenue: On request
Cash Flow: On request",On request,On request,On request,https://canada.businessesforsale.com/canadian/established-transport-canada-certified-flight-school-in-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,established transport canada certified
75,"barBURRITO in Petawawa, Ontario","Petawawa, Ontario, Ontario",,"Franchise Fee: $25,000
Investment: $390K - $420K
Capital: $140K - $150K","$25,000 ",$390K - $420K,$140K - $150K,https://canada.businessesforsale.com/canadian/franchises/opportunities/barburrito?location=Petawawa%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise7648/browselogobig.jpg,barburrito
76,Profitable & Automated E-Commerce Business with 30% margins,"Delaware, Ontario, Canada",,"Asking Price: $25,000 (CAD)
Revenue: Over $5M (CAD)
Cash Flow: $500K - $2.5M (CAD)","$25,000 (CAD)",Over $5M (CAD),$500K - $2.5M (CAD),https://canada.businessesforsale.com/canadian/profitable-and-automated-e-commerce-business-with-30-margins.aspx,https://canada.businessesforsale.com/uploadsstatic/a3605008mediumthumbnail.jpg?UI1xowbMvsWY/vKsnpYhag==,profitable automated e-commerce business
77,Profitable Online Dropshipping Website Work From Home Business,"Toronto, Ontario, Canada",,"Asking Price: $199 (CAD)
Revenue: Under $100K (CAD)
Cash Flow: Under $50K (CAD)",$199 (CAD),Under $100K (CAD),Under $50K (CAD),https://canada.businessesforsale.com/canadian/profitable-online-dropshipping-website-work-from-home-business.aspx,https://canada.businessesforsale.com/uploadsstatic/a3397749mediumthumbnail.jpg?aElFjpOi9UavFV0b+Mo1DA==,profitable online dropshipping website
78,"Fatburger Fast Casual Restaurant Franchise in Mississauga, Ontario","Mississauga, Ontario, Ontario",,"Franchise Fee: $50,000
Investment: On request","$50,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fatburger-franchise-canada?location=Mississauga%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8096/browselogobig.jpg,fatburger fast casual restaurant
79,Online Auction House,"Greater Toronto Area, Ontario, Canada",UPDATED,This is a well-established online auction house that has been operating successfully for over 20 years. It provides a platform and an open market place to buy and sell a wide range of items such as... More details »,"$1,540,000 (CAD)","$1,541,000 (CAD)","$510,262 (CAD)",https://canada.businessesforsale.com/canadian/online-auction-house.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742007mediumthumbnail.jpg?DIVaHWlZ7A3X57pUTq0wow==,online auction house
80,Thriving EWYN Weight Loss Studio Franchise In Hamilton,"Hamilton, Ontario, Canada",,"Asking Price: $100K - $250K (CAD)
Revenue: On request
Cash Flow: On request",$100K - $250K (CAD),On request,On request,https://canada.businessesforsale.com/canadian/thriving-ewyn-weight-loss-studio-franchise-in-hamilton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739988mediumthumbnail.jpg?Z6j7qrGLyB5s8ZSIAvDwwQ==,thriving ewyn weight loss
81,Johnny Greeko's - Greek Restaurant Franchise in Greater Toronto Area,"Greater Toronto Area, Ontario",,"Franchise Fee: $30,000 CAD
Investment: On request
Capital: $150,000-$200,000 CAD","$30,000 CAD",On request,"$150,000-$200,000 CAD",https://canada.businessesforsale.com/canadian/franchises/opportunities/johnny-greekos-franchise?location=Greater%20Toronto%20Area,https://canada.businessesforsale.com/canadian/franchises/images/franchise8429/browselogobig.jpg,johnny greeko's greek restaurant
82,Established Turnkey Lending Business In Toronto,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $175,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$175,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/established-turnkey-lending-business-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3352407mediumthumbnail.jpg?KeVerxEqws0MU29/JHrmDA==,established turnkey lending business
83,Great Canadian Online Hobby Store,"Greater Toronto Area, Ontario, Canada",UPDATED,Owner has curated and grown the business since 2009 carving out a niche area focused on radio controlled vehicles for discerning hobbyists that are price & quality conscious. Sales 75-80% Canadian;... More details »,"$215,000 (CAD)","$200,000 (CAD)","$71,000 (CAD)",https://canada.businessesforsale.com/canadian/great-canadian-online-hobby-store.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741055mediumthumbnail.jpg?NS06kVh/w7OIQp2kWWFEYw==,great canadian online hobby
84,Lava Grill Franchise in Oshawa,"Oshawa, Ontario",,"Franchise Fee: $30,000
Investment: $400,000 - $500,000","$30,000 ","$400,000 - $500,000",,https://canada.businessesforsale.com/canadian/franchises/opportunities/lava-grill-franchise?location=Oshawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8031/browselogobig.jpg,lava grill franchise
85,Premier Burger Franchise In Toronto,"Toronto / Etobicoke, Ontario, Canada",,"Asking Price: $650,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$650,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/premier-burger-franchise-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741038mediumthumbnail.jpg?rwSL5k8ZMGdu6AprUTIlyg==,premier burger franchise toronto
86,Profitable Online Flower Business In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $15,000 (CAD)
Revenue: $31,000 (CAD)
Cash Flow: $50K - $100K (CAD)","$15,000 (CAD)","$31,000 (CAD)",$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/profitable-online-flower-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3404758mediumthumbnail.jpg?6vNkv6V3vD3Z+Z2XKPpizw==,profitable online flower business
87,Gabriel Pizza Franchise in Pembroke,"Pembroke, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/gabriel-pizza-franchise?location=Pembroke,https://canada.businessesforsale.com/canadian/franchises/images/franchise8468/browselogobig.jpg,gabriel pizza franchise
88,Waffle To Go - Prime Mall Location Franchise in Guelph,"Guelph, Ontario",,"Franchise Fee: $20,000
Investment: $300,000
Capital: $100,000","$20,000 ","$300,000 ","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Guelph,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,waffle to go prime
89,Senior Helpers - Care Franchise in Hamilton,"Hamilton, Ontario",,"Franchise Fee: On Request
Investment: On request",On Request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,senior helpers care franchise
90,STEAM/STEM Territory License In Markham,"Markham, Ontario, Canada",,"Asking Price: $40,000 (CAD)
Revenue: Not applicable
Cash Flow: Not applicable","$40,000 (CAD)",Not applicable,Not applicable,https://canada.businessesforsale.com/canadian/steam-stem-territory-license-in-markham.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703831mediumthumbnail.jpg?E8q1PQzF0eNT+lVDMf/+Uw==,steam stem territory license
91,Fresh Burger Franchise in Oshawa,"Oshawa, Ontario",,"Franchise Fee: $37,500 CAD
Investment: On request","$37,500 CAD",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fresh-burger-franchise?location=Oshawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8036/browselogobig.jpg,fresh burger franchise
92,Best.Energy - Energy Monitoring Franchise in Brantford,"Brantford, Ontario",,"License Fee: $60,000
Investment: On request","$60,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/best-energy-franchise-canada?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8338/browselogobig.jpg,best energy energy monitoring
93,Automated Online Lending Business In London,"London, Ontario, Canada",,"Asking Price: $100K - $250K (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed",$100K - $250K (CAD),Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/automated-online-lending-business-in-london.aspx,https://canada.businessesforsale.com/uploadsstatic/a3352971mediumthumbnail.jpg?gwIQevL6FQ7ObmkNHSrCqA==,automated online lending business
94,"Chef’s Door - Restaurant Franchise in Niagara Falls, ON","Niagara Falls, ON, Ontario",,"Franchise Fee: $35,000
Investment: On request","$35,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Niagara%20Falls%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,chef s door restaurant
95,Commercial HVAC Business In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $1M - $5M (CAD)
Revenue: $1M - $5M (CAD)
Cash Flow: $250K - $500K (CAD)",$1M - $5M (CAD),$1M - $5M (CAD),$250K - $500K (CAD),https://canada.businessesforsale.com/canadian/commercial-hvac-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739540mediumthumbnail.jpg?3plOH6R98EAruUiCTN/WjA==,commercial hvac business greater
96,Established Artisanal Candle Company In Toronto,"Toronto, Ontario, Canada",,"Asking Price: $99,000 (CAD)
Revenue: $97,000 (CAD)
Cash Flow: $97,000 (CAD)","$99,000 (CAD)","$97,000 (CAD)","$97,000 (CAD)",https://canada.businessesforsale.com/canadian/established-artisanal-candle-company-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3734151mediumthumbnail.jpg?NwhTEBJpgj85X0yEa6Hgow==,established artisanal candle company
97,INS Market - Convenience Store Franchise in Etobicoke General Hospital,"Etobicoke General Hospital, Ontario",,"Franchise Fee: $30,000
Investment: £315,000
Capital: $100,000","$30,000 ","£315,000","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=Etobicoke%20General%20Hospital,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,ins market convenience store
98,Unique Business Opportunity In Retail Sector With Multiple Revenue Streams In Hamilton-Niagara,"Hamilton-Niagara, Ontario, Canada",,"Asking Price: $1,100,000 (CAD)
Revenue: $3,451,000 (CAD)
Cash Flow: $450,000 (CAD)","$1,100,000 (CAD)","$3,451,000 (CAD)","$450,000 (CAD)",https://canada.businessesforsale.com/canadian/unique-business-opportunity-in-retail-sector-with-multiple-revenue-streams-in-hamilton-niagara.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738425mediumthumbnail.jpg?NjxLtTd/08q8N6dBqfsICQ==,unique business opportunity retail
99,Well-Established Machine Shop In Mississauga,"Mississauga, Ontario, Canada",,"Asking Price: On request
Revenue: On request
Cash Flow: On request",On request,On request,On request,https://canada.businessesforsale.com/canadian/well-established-machine-shop-in-mississauga.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738031mediumthumbnail.jpg?swNIYt/9bLu5ylMXMIhviQ==,well-established machine shop mississauga
100,ONESource Moving Solutions - Specialty Move Management Franchise in Mississauga,"Mississauga, Ontario",,"Franchise Fee: $30,000
Investment: On request","$30,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/onesource-moving-solutions-franchise?location=Mississauga,https://canada.businessesforsale.com/canadian/franchises/images/franchise9585/browselogobig.jpg,onesource moving solutions specialty
101,High-margin Specialized Chemical Formula Company In Ontario,"Ontario, Canada",,"Asking Price: On request
Revenue: $19,372,352 (CAD)
Cash Flow: $9,210,721 (CAD)",On request,"$19,372,352 (CAD)","$9,210,721 (CAD)",https://canada.businessesforsale.com/canadian/high-margin-specialized-chemical-formula-company-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3735135mediumthumbnail.jpg?mfiVqDR6JYRh27XcUUcHDw==,high-margin specialized chemical formula
102,Profitable Busy Garage In Washington,"Washington, Ontario, Canada",UPDATED,"In the small hamlet of Washington, Ontario is a busy garage with 3 bays and a home above the garage with a two and a half car personal garage (30x32) with an upper loft The garage has 2 plus one bays... More details »","$2,495,000 (CAD)","$400,000 (CAD)",On request,https://canada.businessesforsale.com/canadian/profitable-busy-garage-in-washington.aspx,https://canada.businessesforsale.com/uploadsstatic/a3695568mediumthumbnail.jpg?9gjIQapxcsv+UUmUrrxRvQ==,profitable busy garage washington
103,Grill Hero – Unique BBQ Cleaning Franchise in Durham,"Durham, Ontario",,"Franchise Fee: $30,000 CAD
Investment: On request
Capital: $45,000 CAD","$30,000 CAD",On request,"$45,000 CAD",https://canada.businessesforsale.com/canadian/franchises/opportunities/grill-hero-franchise?location=Durham,https://canada.businessesforsale.com/canadian/franchises/images/franchise8519/browselogobig.jpg,grill hero unique bbq
104,Profitable Established Landscaping/Construction Company In Vaughan,"Vaughan, Ontario, Canada",,"Asking Price: $2,250,000 (CAD)
Revenue: $1M - $5M (CAD)
Cash Flow: $500K - $2.5M (CAD)","$2,250,000 (CAD)",$1M - $5M (CAD),$500K - $2.5M (CAD),https://canada.businessesforsale.com/canadian/profitable-established-landscaping-construction-company-in-vaughan.aspx,https://canada.businessesforsale.com/uploadsstatic/a3553115mediumthumbnail.jpg?ax9gyWjsMXEPk4g2rf3KGQ==,profitable established landscaping construction
105,Turn Key Busy Discount & Party Store In Binbrook,"Binbrook, Ontario, Canada",UPDATED,"For over 11 years, this super cute discount store packs in everyday needs and party supplies for a rapidly growing community. If you always wanted to have your own small business, don't miss out on... More details »","$300,000 (CAD)",$250K - $500K (CAD),Under $50K (CAD),https://canada.businessesforsale.com/canadian/turn-key-busy-discount-and-party-store-in-binbrook.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,turn key busy discount
106,"Fatburger Fast Casual Restaurant Franchise in Oshawa, Ontario","Oshawa, Ontario, Ontario",,"Franchise Fee: $50,000
Investment: On request","$50,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fatburger-franchise-canada?location=Oshawa%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8096/browselogobig.jpg,fatburger fast casual restaurant
107,Established Med And Laser Spa In Caledon,"Caledon, Ontario, Canada",,"Asking Price: $250K - $500K (CAD)
Revenue: $250K - $500K (CAD)
Cash Flow: $250K - $500K (CAD)",$250K - $500K (CAD),$250K - $500K (CAD),$250K - $500K (CAD),https://canada.businessesforsale.com/canadian/established-med-and-laser-spa-in-caledon.aspx,https://canada.businessesforsale.com/uploadsstatic/a3733656mediumthumbnail.jpg?v5ocSpBmvRhyEonfj6iPZQ==,established med laser spa
108,Seasonal Vacation Resort Property In Ontario,"Ontario, Canada",,"Asking Price: $1,590,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$1,590,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/seasonal-vacation-resort-property-in-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3728241mediumthumbnail.jpg?/CN5UvRbdVhQ6b/8P8oaRw==,seasonal vacation resort property
109,Johnny Greeko's - Greek Restaurant Franchise in London,"London, Ontario",,"Franchise Fee: $30,000 CAD
Investment: On request
Capital: $150,000-$200,000 CAD","$30,000 CAD",On request,"$150,000-$200,000 CAD",https://canada.businessesforsale.com/canadian/franchises/opportunities/johnny-greekos-franchise?location=London,https://canada.businessesforsale.com/canadian/franchises/images/franchise8429/browselogobig.jpg,johnny greeko's greek restaurant
110,A Premier Dog Training And Breeding Venture,"Canada, Ontario, Canada",,"Asking Price: $310,000 (CAD)
Revenue: $403,000 (CAD)
Cash Flow: $87,000 (CAD)","$310,000 (CAD)","$403,000 (CAD)","$87,000 (CAD)",https://canada.businessesforsale.com/canadian/a-premier-dog-training-and-breeding-venture-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3725232mediumthumbnail.jpg?HzVzEoks7RRCSJEd2KpYig==,a premier dog training
111,Spacious Dog Kennel In Milton,"Milton, Ontario, Canada",UPDATED,Quick sale !! Last chance. The facility was established in 2017 many changes have been made to the company. Rebranded and fully renovated as of fall 2023. Rare opportunity! Licensing and permits... More details »,"$155,500 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/spacious-dog-kennel-in-milton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703940mediumthumbnail.jpg?Cm7U0+ju9iOqQnkAz8k8gQ==,spacious dog kennel milton
112,Lava Grill Franchise in Barrie,"Barrie, Ontario",,"Franchise Fee: $30,000
Investment: $400,000 - $500,000","$30,000 ","$400,000 - $500,000",,https://canada.businessesforsale.com/canadian/franchises/opportunities/lava-grill-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise8031/browselogobig.jpg,lava grill franchise
113,Profitable Music School With Real Estate In Canada,"Richmond Hill, Ontario, Canada",,"Asking Price: $2,450,000 (CAD)
Revenue: $500,000 (CAD)
Cash Flow: $100K - $250K (CAD)","$2,450,000 (CAD)","$500,000 (CAD)",$100K - $250K (CAD),https://canada.businessesforsale.com/canadian/profitable-music-school-with-real-estate-in-canada.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,profitable music school with
114,Established Spa Franchise Opportunities In Toronto,"Toronto, Ontario, Canada",,"Asking Price: $200,000 (CAD)
Revenue: $500K - $1M (CAD)
Cash Flow: $250K - $500K (CAD)","$200,000 (CAD)",$500K - $1M (CAD),$250K - $500K (CAD),https://canada.businessesforsale.com/canadian/established-spa-franchise-opportunities-in-toronto.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,established spa franchise opportunities
115,Gabriel Pizza Franchise in Peterborough,"Peterborough, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/gabriel-pizza-franchise?location=Peterborough,https://canada.businessesforsale.com/canadian/franchises/images/franchise8468/browselogobig.jpg,gabriel pizza franchise
116,Lucrative Small Grocery On Long Point Bay In Port Rowan,"Port Rowan, Ontario, Canada",,"Asking Price: $850,000 (CAD)
Revenue: $1M - $5M (CAD)
Cash Flow: On request","$850,000 (CAD)",$1M - $5M (CAD),On request,https://canada.businessesforsale.com/canadian/lucrative-small-grocery-on-long-point-bay-in-port-rowan.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707516mediumthumbnail.jpg?hPMF69PgBuTVVSHm3FgqRA==,lucrative small grocery on
117,Well-Known F45 Fitness Studio In Toronto,"Toronto, Ontario, Canada",,"Asking Price: $650,000 (CAD)
Revenue: $500K - $1M (CAD)
Cash Flow: $100K - $250K (CAD)","$650,000 (CAD)",$500K - $1M (CAD),$100K - $250K (CAD),https://canada.businessesforsale.com/canadian/well-known-f45-fitness-studio-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3558908mediumthumbnail.jpg?d0kDb6V4xrOBhs2OlrPg+A==,well-known f45 fitness studio
118,Fully Promoted - Promotional Marketing Franchise in Ontario,"Ontario, Ontario",,"Franchise Fee: On request
Investment: $65,000-$255,000",On request,"$65,000-$255,000",,https://canada.businessesforsale.com/canadian/franchises/opportunities/fully-promoted-canada?location=Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8417/browselogobig.jpg,fully promoted promotional marketing
119,Established and Profitable Career College In Ontario,"Ontario, Canada",,"Asking Price: On request
Revenue: $1M - $5M (CAD)
Cash Flow: $500K - $2.5M (CAD)",On request,$1M - $5M (CAD),$500K - $2.5M (CAD),https://canada.businessesforsale.com/canadian/established-and-profitable-career-college-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703932mediumthumbnail.jpg?jx35lty/a+pceWHOWmUaNQ==,established profitable career college
120,Profitable Children's STEM Camp Franchise In Halton,"Halton, Ontario, Canada",,"Asking Price: $25,000 (CAD)
Revenue: On request
Cash Flow: On request","$25,000 (CAD)",On request,On request,https://canada.businessesforsale.com/canadian/profitable-children-s-stem-camp-franchise-in-halton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3699933mediumthumbnail.jpg?pEQhBYp1l9F1jrYyCdE8pg==,profitable children's stem camp
121,Waffle To Go - Prime Mall Location Franchise in Brantford,"Brantford, Ontario",,"Franchise Fee: $20,000
Investment: $300,000
Capital: $100,000","$20,000 ","$300,000 ","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,waffle to go prime
122,Established Glass Repair Business In London,"London, Ontario, Canada",,"Asking Price: $30,000 (CAD)
Revenue: $100K - $250K (CAD)
Cash Flow: $50K - $100K (CAD)","$30,000 (CAD)",$100K - $250K (CAD),$50K - $100K (CAD),https://canada.businessesforsale.com/canadian/established-glass-repair-business-in-london.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,established glass repair business
123,"Digital Billboards Media Company providing Passive Income, Ontario","Ontario, Canada",UPDATED,"3 Active Digital Billboards in Ontario located on busy inner city arterial roads. Delivering over 3m+ impressions per month. 4th Site in ON, permitted and ready for development. Business can be... More details »","$2,500,000 (CAD)",$500K - $1M (CAD),$500K - $2.5M (CAD),https://canada.businessesforsale.com/canadian/digital-billboards-media-company-providing-passive-income-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703357mediumthumbnail.jpg?cDHVoVg8chC3XhqSGgxJTg==,digital billboards media company
124,Senior Helpers - Care Franchise in Brantford,"Brantford, Ontario",,"Franchise Fee: On Request
Investment: On request",On Request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,senior helpers care franchise
125,Hydroseeding Business In Ottawa,"Ottawa, Ontario, Canada",UPDATED,"Ottawa Hydroseeding"" business for sale and ready for you to continue serving a diverse customer base of residential, commercial, and municipal projects. Brand new Billy Goat Overseeder for immediate... More details »","$189,500 (CAD)",On request,On request,https://canada.businessesforsale.com/canadian/hydroseeding-business-in-ottawa.aspx,https://canada.businessesforsale.com/uploadsstatic/a3702914mediumthumbnail.jpg?Ea/o2Hja2FZqgtU11CJr8Q==,hydroseeding business ottawa
126,Established Fast Food Restaurant In York Region,"York Region, Ontario, Canada",UPDATED,"For sale is an established and profitable fast-food restaurant located in Stockyards Village in the bustling York Region. This turnkey operation boasts a prime, high-traffic location that attracts a... More details »","$399,999 (CAD)",$500K - $1M (CAD),$100K - $250K (CAD),https://canada.businessesforsale.com/canadian/established-fast-food-restaurant-in-york-region.aspx,https://canada.businessesforsale.com/uploadsstatic/a3632009mediumthumbnail.jpg?hYmAz0fukxa258ONTsX8Og==,established fast food restaurant
